problem,dim,f,normg,iteration,fevals,gevals,success,stopping_criteria
SPIN2LS,102,0.07190626948195153,0.3299817341666922,1000,1103,1001,False,Max iteration,SPIN2LS,102,0.03980853958597628,0.22326968653095733,1000,1103,1001,False,Max iteration,SPIN2LS,102,32562.50000467878,8850004.283637563,26,128,1,False,TR radius too small,SPIN2LS,102,3.0406085830525568e-06,0.00963234758763503,999,1001,1001,False,Exceed max iterations
QING,100,0.04241538939822951,1.4916069352526322,1000,1101,1001,False,Max iteration,QING,100,1.3075427045945196,18.668680876556227,1000,1101,1001,False,Max iteration,QING,100,260427.08681899303,1990071151.8124847,27,127,1,False,TR radius too small,QING,100,3.1479401168930374e-15,8.639369762793142e-07,114,116,116,True,First order condition met
LUKSAN21LS,100,92.49808632056389,0.38889257221814766,1000,1101,1001,False,Max iteration,LUKSAN21LS,100,0.46667490990155674,0.21352559966626208,1000,1101,1001,False,Max iteration,LUKSAN21LS,100,97.2295933151521,0.2382766479587902,1000,1101,1,False,Max iteration,LUKSAN21LS,100,69.14714406687969,0.6274601826090103,999,1001,1001,False,Exceed max iterations
VANDANMSLS,22,10.546696747444672,0.0012902906236600192,1000,1023,1001,False,Max iteration,VANDANMSLS,22,9.60258722132593,3.4539876547260175e-06,1000,1023,1001,False,Max iteration,VANDANMSLS,22,11.741931963154398,0.008549220831506289,1000,1023,1,False,Max iteration,VANDANMSLS,22,7.799150412048544,1.0105111218042943e-07,68,70,70,True,First order condition met
SENSORS,100,-2106.0,2.8331770289069444e-06,1000,1101,1001,False,Max iteration,SENSORS,100,-2095.875,4.5940551130055056e-05,229,329,229,False,TR radius too small,SENSORS,100,-2055.896099919782,4492.627004020607,768,868,1,False,TR radius too small,SENSORS,100,-2106.0,9.540083215503196e-08,49,51,51,True,First order condition met
COATING,134,24.23792208305364,13.057976784146394,1000,1135,1001,False,Max iteration,COATING,134,591.8480518700433,4816894.594913313,52,186,52,False,TR radius too small,COATING,134,14980.145338210761,1493219.429990238,37,171,1,False,TR radius too small,COATING,134,0.7319742288403666,0.9338778820006001,999,1001,1001,False,Exceed max iterations
DMN15333LS,99,20345.024834367996,3.0209115699611444,78,177,78,False,TR radius too small,DMN15333LS,99,139148.05057116697,793.0795708960644,55,154,55,False,TR radius too small,DMN15333LS,99,278493.0501917586,6.379795654410662e-07,1,100,1,True,First order condition met,DMN15333LS,99,183.54152970622368,149.6266973075397,999,1001,1001,False,Exceed max iterations
DIAMON3DLS,99,1643500.3439139198,1.014732172219556e-07,1,100,1,True,First order condition met,DIAMON3DLS,99,1643501.4041044954,1.3671309037522477e-07,1,100,1,True,First order condition met,DIAMON3DLS,99,1643460.4174601429,3.526527894570803e-09,2,101,1,True,First order condition met,DIAMON3DLS,99,389.24891450534625,325.4136200512461,999,1001,1001,False,Exceed max iterations
LUKSAN22LS,100,24876.812262398063,725885936.924604,33,133,33,False,TR radius too small,LUKSAN22LS,100,21851.766465660756,305657850.7255537,42,142,42,False,TR radius too small,LUKSAN22LS,100,24876.85770597442,6634080457.090069,26,126,1,False,TR radius too small,LUKSAN22LS,100,868.9406311207676,0.007005373023971538,999,1001,1001,False,Exceed max iterations
CHNROSNB,50,44.35658935717045,3.543282378730274,1000,1051,1001,False,Max iteration,CHNROSNB,50,35.52309051447693,5.597942872127895,1000,1051,1001,False,Max iteration,CHNROSNB,50,7635.839999999999,59660349796.95578,26,76,1,False,TR radius too small,CHNROSNB,50,1.7920567924008294e-12,2.639025310599616e-06,981,982,982,False,TR radius too small
HYDCAR6LS,29,9.91993793167903,3.154370096020602,1000,1030,1001,False,Max iteration,HYDCAR6LS,29,0.7645594810724557,5.791528384747734,1000,1030,1001,False,Max iteration,HYDCAR6LS,29,542.8458104499023,13684899.419681413,29,58,1,False,TR radius too small,HYDCAR6LS,29,0.004672537689763265,0.2205932948131065,999,1001,1001,False,Exceed max iterations
TOINTQOR,50,1175.4722221461727,5.842168589960337e-06,216,266,216,False,TR radius too small,TOINTQOR,50,1175.4722221461836,1.2173269129950473e-05,101,151,101,False,TR radius too small,TOINTQOR,50,1175.474367007388,2.117174561755355,692,742,1,False,TR radius too small,TOINTQOR,50,1175.4722221461693,8.077612187258305e-07,30,32,32,True,First order condition met
STRTCHDV,10,2.322728109919151e-09,9.888046627783423e-07,429,439,429,True,First order condition met,STRTCHDV,10,8.20365594702341e-10,8.359592432214629e-07,284,294,284,True,First order condition met,STRTCHDV,10,1.4453184902626245e-09,6.149496810940033e-07,543,553,1,True,First order condition met,STRTCHDV,10,3.993829414981282e-10,7.944421386365491e-07,47,49,49,True,First order condition met
STRATEC,10,,,1,12,2,False,Objective is NaN,STRATEC,10,,,1,12,2,False,Objective is NaN,STRATEC,10,,,2,13,1,False,Objective is NaN,STRATEC,10,2212.262290907386,2.676480470504553e-05,165,166,166,False,TR radius too small
HILBERTB,10,3.3868098271776213e-15,9.165783517870868e-07,11,21,11,True,First order condition met,HILBERTB,10,3.623361697025861e-13,8.930210454348122e-07,12,22,12,True,First order condition met,HILBERTB,10,,inf,140,151,1,False,Objective is NaN,HILBERTB,10,2.3676007756297853e-14,6.908564843725751e-07,4,6,6,True,First order condition met
DMN15332LS,66,1788.2395614459188,414.0521648365933,1000,1067,1001,False,Max iteration,DMN15332LS,66,1534.6393617852443,272.6109281739047,1000,1067,1001,False,Max iteration,DMN15332LS,66,292073.436849307,1.3484146828798184e-07,2,68,1,True,First order condition met,DMN15332LS,66,1326.7135011654232,4.6432096576720765,999,1001,1001,False,Exceed max iterations
