iter,funcval,gradnorm,x
0,2.9665404653292375,7.73935401675658,"[1.25817097 0.09999985 0.10000069 0.10000042 0.09999889 0.09999981
 0.09999875 0.09999954 0.09999904 0.09999868]"
1,1.0235946832628575,7.739354016756596,"[1.25817097 0.09999985 0.10000069 0.10000042 0.09999889 0.09999981
 0.09999875 0.09999954 0.09999904 0.09999868]"
2,1.0235946832628575,7.739354016756553,"[1.25817097 0.09999985 0.10000069 0.10000042 0.09999889 0.09999981
 0.09999875 0.09999954 0.09999904 0.09999868]"
3,0.6476251042683119,7.73935401675664,"[1.14058013 0.11801728 0.13749354 0.14996214 0.15046736 0.10698688
 0.10149979 0.10101281 0.10604823 0.11639653]"
4,0.6476251042683119,5.139011024683763,"[1.14058013 0.11801728 0.13749354 0.14996214 0.15046736 0.10698688
 0.10149979 0.10101281 0.10604823 0.11639653]"
5,0.47643860205697364,14.347164611741333,"[1.11749205 0.1165839  0.13725898 0.15850369 0.17592502 0.07369865
 0.09646103 0.10394639 0.10443481 0.06311644]"
6,0.47643860205697364,6.041560164490567,"[1.11749205 0.1165839  0.13725898 0.15850369 0.17592502 0.07369865
 0.09646103 0.10394639 0.10443481 0.06311644]"
7,0.3846687617318196,6.041560164500768,"[1.1128444  0.12205668 0.1435401  0.16791894 0.19056814 0.08080367
 0.09261581 0.09737271 0.07606231 0.06157633]"
8,0.3846687617318196,9.156347267504312,"[1.1128444  0.12205668 0.1435401  0.16791894 0.19056814 0.08080367
 0.09261581 0.09737271 0.07606231 0.06157633]"
9,0.37036208348237776,8.06582756541291,"[1.10808649 0.12171188 0.14207741 0.16237957 0.18024026 0.08500768
 0.09212596 0.10203654 0.07815975 0.07258409]"
10,0.36481649306119857,5.0682478997217935,"[1.10864397 0.11894295 0.14154956 0.15429543 0.16356607 0.10942191
 0.08571123 0.10551255 0.06252411 0.08061687]"
11,0.32186129767477323,4.831541438203088,"[1.11109565 0.1352661  0.14653476 0.15610912 0.16145984 0.09405141
 0.07581361 0.09631769 0.08444053 0.07033101]"
12,0.32186129767477323,9.59370980489518,"[1.11109565 0.1352661  0.14653476 0.15610912 0.16145984 0.09405141
 0.07581361 0.09631769 0.08444053 0.07033101]"
13,0.3089143443612337,27.679565922378792,"[1.10439307 0.13500577 0.15078495 0.15908242 0.16092114 0.09608011
 0.07351255 0.09636317 0.08392762 0.07024554]"
14,0.2993188656346898,8.570662504953065,"[1.10316166 0.13418671 0.14991652 0.15944729 0.15674121 0.10164527
 0.07620833 0.09272094 0.08544086 0.0729896 ]"
15,0.2833986151933026,4.921131457921049,"[1.10231915 0.13206267 0.14810773 0.16310978 0.15092967 0.11162184
 0.08012543 0.083221   0.07889722 0.07787387]"
16,0.27011734539577886,3.699531175523256,"[1.09766303 0.13490645 0.15594893 0.15608667 0.15033979 0.11246214
 0.07768516 0.07178173 0.08429598 0.0734137 ]"
17,0.24565119367634364,3.2664809225462403,"[1.09971221 0.13808361 0.16215166 0.16708027 0.14825826 0.10567792
 0.08465856 0.07030237 0.08149957 0.06671601]"
18,0.24565119367634364,9.37333754942488,"[1.09971221 0.13808361 0.16215166 0.16708027 0.14825826 0.10567792
 0.08465856 0.07030237 0.08149957 0.06671601]"
19,0.2428001807524468,44.9374357169827,"[1.0973063  0.13901351 0.16658048 0.1625416  0.1467989  0.10741187
 0.08249424 0.06626739 0.08255396 0.06392499]"
